종목코드,유동자산,자산총계,유동부채,부채총계,결산기준일
251370,117398377414.0,223108388244.0,50681607734.0,86238076635.0,2021-09-30
193250,37646812403.0,91001832897.0,13838728177.0,19136508924.0,2021-09-30
19210,474437751428.0,929096757427.0,460009165675.0,608428880225.0,2021-09-30
122870,312997730166.0,633338203848.0,114319357524.0,141478386967.0,2021-09-30
11690,82520822485.0,120754223104.0,24289900624.0,27425685688.0,2021-09-30
332570,69918191459.0,112318688896.0,19315395737.0,24555376705.0,2021-09-30
70960,154434204908.0,899807180497.0,248466734044.0,509799431860.0,2021-09-30
32820,50391680907.0,125730797621.0,43188137934.0,70572001242.0,2021-09-30
115440,74511354759.0,94703696418.0,16178170755.0,37213276204.0,2021-09-30
118000,50666415057.0,176740826668.0,55561689792.0,59561419730.0,2021-09-30
215360,162530776154.0,248627250208.0,98696020919.0,124176737083.0,2021-09-30
73560,204050861149.0,442565708718.0,150162017247.0,202592644130.0,2021-09-30
6980,220518803113.0,360932730916.0,169705928454.0,182261484143.0,2021-09-30
17370,163731232602.0,302949858472.0,184273437319.0,214491911507.0,2021-09-30
46940,71464877946.0,158815700902.0,44465088112.0,58383971128.0,2021-09-30
65680,171272719449.0,274564860521.0,59806598286.0,60483037382.0,2021-09-30
105840,93093153939.0,221270240022.0,23109976116.0,66321415048.0,2021-09-30
10400,71381863342.0,112496461669.0,13803525622.0,16390464441.0,2021-09-30
49800,123405991511.0,270589893583.0,163739137395.0,198677873760.0,2021-09-30
16880,487472407092.0,1072596324637.0,422559661237.0,839946330216.0,2021-09-30
95720,458853410794.0,755204758657.0,355171386139.0,385466231957.0,2021-09-30
5820,92541064886.0,167107911954.0,26161705406.0,34348992134.0,2021-09-30
32940,30352876626.0,314406854853.0,40323450042.0,97796732795.0,2021-09-30
240810,641826721194.0,1076493505599.0,252283802091.0,265018153424.0,2021-09-30
74600,217496255031.0,800511232737.0,143539666775.0,440682065835.0,2021-09-30
104830,136919671941.0,453402102105.0,63945417259.0,68241944409.0,2021-09-30
131390,157869973497.0,219276124068.0,101352847870.0,104122131649.0,2021-09-30
30530,402358909543.0,1762552108786.0,322240581449.0,489634575543.0,2021-09-30
376980,36798845021.0,43703693279.0,5985147185.0,12418847735.0,2021-09-30
101160,134710568881.0,205502265011.0,52419136439.0,69632980180.0,2021-09-30
95270,86021292491.0,95422156615.0,21021263117.0,29346404380.0,2021-09-30
10600,78463242903.0,126320882862.0,68312023715.0,82395972776.0,2021-09-30
65950,179061460639.0,272460392777.0,108500263241.0,143836872427.0,2021-09-30
69080,334698910470.0,595142021943.0,89948583563.0,105888534528.0,2021-09-30
44340,196494922051.0,400583127307.0,175487064253.0,199573909043.0,2021-09-30
112040,188155043511.0,523487262874.0,149434592904.0,214486004205.0,2021-09-30
101730,29383696082.0,47065687566.0,6325938265.0,19080773893.0,2021-09-30
299900,192289570895.0,330182468156.0,73825271528.0,86195368332.0,2021-09-30
136540,95754495278.0,172382545819.0,36868829340.0,38440715537.0,2021-09-30
8600,198155362143.0,295472765362.0,171749216026.0,187519784251.0,2021-09-30
14830,652974555937.0,1321270855994.0,254376818918.0,330210441277.0,2021-09-30
36200,177034055164.0,230527392925.0,50290203275.0,52285490692.0,2021-09-30
18000,86175951335.0,261033451073.0,162471560479.0,181436380750.0,2021-09-30
910,128647749361.0,397825943768.0,118476288957.0,186882598525.0,2021-09-30
47400,84551602824.0,184883436125.0,63731114749.0,101337390622.0,2021-09-30
11330,101569120007.0,323999976360.0,111048196395.0,195030152472.0,2021-09-30
77500,284127396285.0,480667326313.0,187583894656.0,197623671254.0,2021-09-30
86390,120013154040.0,205018914825.0,19456289636.0,47822387531.0,2021-09-30
142210,160506634785.0,207261661196.0,107532139410.0,142466261064.0,2021-09-30
32620,92267601378.0,144919411768.0,15510266012.0,26601867644.0,2021-09-30
78070,233096429355.0,337195372143.0,33609931247.0,40438174755.0,2021-09-30
2920,178046340399.0,403956301100.0,44307407627.0,95981097991.0,2021-09-30
700,289054467463.0,485492266199.0,70732386485.0,92816069242.0,2021-09-30
49520,120103555994.0,208002924298.0,53600569759.0,62866121141.0,2021-09-30
56090,37839442102.0,76846877889.0,20403211790.0,43896786170.0,2021-09-30
